time,data_type,value
2024-05-03T07:12:00+00:00,steps,18
2024-05-03T07:13:00+00:00,hr,74
2024-05-03T07:14:00+00:00,hr,73
2024-05-03T07:15:00+00:00,hr,79
2024-05-03T07:16:00+00:00,hr,79
2024-05-03T07:17:00+00:00,hr,79
2024-05-03T07:18:00+00:00,hr,76
2024-05-03T07:19:00+00:00,hr,77
2024-05-03T07:19:00+00:00,steps,11
2024-05-03T07:20:00+00:00,hr,75
2024-05-03T07:21:00+00:00,hr,76
2024-05-03T07:22:00+00:00,hr,74
2024-05-03T07:23:00+00:00,hr,69
2024-05-03T07:24:00+00:00,hr,66
2024-05-03T07:25:00+00:00,hr,64
2024-05-03T07:26:00+00:00,hr,63
2024-05-03T07:27:00+00:00,hr,65
2024-05-03T07:28:00+00:00,hr,64
2024-05-03T07:29:00+00:00,hr,64
2024-05-03T07:30:00+00:00,hr,66
2024-05-03T07:31:00+00:00,hr,64
2024-05-03T07:32:00+00:00,hr,64
2024-05-03T07:33:00+00:00,hr,64
2024-05-03T07:34:00+00:00,hr,63
2024-05-03T07:35:00+00:00,hr,63
2024-05-03T07:36:00+00:00,hr,65
2024-05-03T07:37:00+00:00,hr,68
2024-05-03T07:37:00+00:00,steps,13
2024-05-03T07:38:00+00:00,hr,68
2024-05-03T07:38:00+00:00,steps,28
2024-05-03T07:39:00+00:00,hr,65
2024-05-03T07:40:00+00:00,hr,61
2024-05-03T07:41:00+00:00,hr,65
2024-05-03T07:42:00+00:00,hr,65
2024-05-03T07:43:00+00:00,hr,65
2024-05-03T07:44:00+00:00,hr,69
2024-05-03T07:44:00+00:00,steps,8
2024-05-03T07:45:00+00:00,hr,75
2024-05-03T07:46:00+00:00,hr,75
2024-05-03T07:47:00+00:00,hr,71
2024-05-03T07:48:00+00:00,hr,72
2024-05-03T07:49:00+00:00,hr,71
2024-05-03T07:50:00+00:00,hr,64
2024-05-03T07:51:00+00:00,hr,64
2024-05-03T07:52:00+00:00,hr,68
2024-05-03T07:53:00+00:00,hr,67
2024-05-03T07:54:00+00:00,hr,75
2024-05-03T07:55:00+00:00,hr,83
2024-05-03T07:56:00+00:00,hr,84
2024-05-03T07:57:00+00:00,hr,85
2024-05-03T07:58:00+00:00,hr,87
2024-05-03T07:59:00+00:00,hr,85
2024-05-03T08:00:00+00:00,hr,81
2024-05-03T08:01:00+00:00,hr,75
2024-05-03T08:02:00+00:00,hr,76
2024-05-03T08:03:00+00:00,hr,73
2024-05-03T08:04:00+00:00,hr,70
2024-05-03T08:05:00+00:00,hr,65
2024-05-03T08:06:00+00:00,hr,67
2024-05-03T08:07:00+00:00,hr,68
2024-05-03T08:08:00+00:00,hr,68
2024-05-03T08:09:00+00:00,hr,65
2024-05-03T08:10:00+00:00,hr,68
