time,data_type,value
2024-02-16T00:52:00+00:00,hr,98
2024-02-16T00:53:00+00:00,hr,100
2024-02-16T00:54:00+00:00,hr,94
2024-02-16T00:55:00+00:00,hr,66
2024-02-16T00:56:00+00:00,hr,68
2024-02-16T00:57:00+00:00,hr,64
2024-02-16T00:58:00+00:00,hr,66
2024-02-16T00:59:00+00:00,hr,66
2024-02-16T01:00:00+00:00,hr,65
2024-02-16T01:01:00+00:00,hr,62
2024-02-16T01:02:00+00:00,hr,61
2024-02-16T01:03:00+00:00,hr,60
2024-02-16T01:04:00+00:00,hr,60
2024-02-16T01:05:00+00:00,hr,58
2024-02-16T01:06:00+00:00,hr,59
2024-02-16T01:07:00+00:00,hr,58
2024-02-16T01:08:00+00:00,hr,61
2024-02-16T01:09:00+00:00,hr,61
2024-02-16T01:10:00+00:00,hr,60
2024-02-16T01:11:00+00:00,hr,60
2024-02-16T01:12:00+00:00,hr,59
2024-02-16T01:13:00+00:00,hr,60
2024-02-16T01:14:00+00:00,hr,60
2024-02-16T01:15:00+00:00,hr,59
2024-02-16T01:16:00+00:00,hr,60
2024-02-16T01:17:00+00:00,hr,59
2024-02-16T01:18:00+00:00,hr,58
2024-02-16T01:19:00+00:00,hr,60
2024-02-16T01:20:00+00:00,hr,58
2024-02-16T01:21:00+00:00,hr,58
2024-02-16T01:22:00+00:00,hr,59
2024-02-16T01:23:00+00:00,hr,61
2024-02-16T01:24:00+00:00,hr,61
2024-02-16T01:25:00+00:00,hr,62
2024-02-16T01:26:00+00:00,hr,59
2024-02-16T01:27:00+00:00,hr,58
2024-02-16T01:28:00+00:00,hr,59
2024-02-16T01:29:00+00:00,hr,60
2024-02-16T01:30:00+00:00,hr,59
2024-02-16T01:31:00+00:00,hr,63
2024-02-16T01:32:00+00:00,hr,64
2024-02-16T01:33:00+00:00,hr,63
2024-02-16T01:34:00+00:00,hr,62
2024-02-16T01:35:00+00:00,hr,61
2024-02-16T01:36:00+00:00,hr,63
2024-02-16T01:37:00+00:00,hr,62
2024-02-16T01:38:00+00:00,hr,63
