time,data_type,value
2024-08-30T00:00:00+00:00,hr,75
2024-08-30T00:00:00+00:00,br,"Deep: 22.2, rem: 8.6, full: 19.8, light: 19.8"
2024-08-30T00:00:00+00:00,sleep,"Duration: 22320000, efficiency: 96, start_time: 2024-08-30T00:56:30.000, minutes_asleep: 356, minutes_awake: 16, efficiency: 96"
2024-08-30T00:00:00+00:00,vo2,33-37
2024-08-30T00:01:00+00:00,hr,77
2024-08-30T00:02:00+00:00,hr,85
2024-08-30T00:02:00+00:00,steps,39
2024-08-30T00:03:00+00:00,hr,87
2024-08-30T00:04:00+00:00,hr,82
2024-08-30T00:05:00+00:00,hr,83
2024-08-30T00:06:00+00:00,hr,82
2024-08-30T00:07:00+00:00,hr,78
2024-08-30T00:08:00+00:00,hr,81
2024-08-30T00:09:00+00:00,hr,79
2024-08-30T00:10:00+00:00,hr,81
2024-08-30T00:11:00+00:00,hr,82
2024-08-30T00:12:00+00:00,hr,82
2024-08-30T00:13:00+00:00,hr,79
2024-08-30T00:14:00+00:00,hr,75
2024-08-30T00:15:00+00:00,hr,78
2024-08-30T00:15:00+00:00,steps,12
2024-08-30T00:16:00+00:00,hr,84
2024-08-30T00:17:00+00:00,hr,80
2024-08-30T00:18:00+00:00,hr,80
2024-08-30T00:19:00+00:00,hr,81
2024-08-30T00:20:00+00:00,hr,85
2024-08-30T00:21:00+00:00,hr,79
2024-08-30T00:22:00+00:00,hr,82
2024-08-30T00:23:00+00:00,hr,83
2024-08-30T00:24:00+00:00,hr,84
2024-08-30T00:25:00+00:00,hr,83
2024-08-30T00:26:00+00:00,hr,85
2024-08-30T00:27:00+00:00,hr,86
2024-08-30T00:28:00+00:00,hr,86
2024-08-30T00:29:00+00:00,hr,83
2024-08-30T00:30:00+00:00,hr,83
2024-08-30T00:31:00+00:00,hr,81
2024-08-30T00:32:00+00:00,hr,87
2024-08-30T00:33:00+00:00,hr,83
2024-08-30T00:34:00+00:00,hr,91
2024-08-30T00:35:00+00:00,hr,100
2024-08-30T00:36:00+00:00,hr,90
2024-08-30T00:37:00+00:00,hr,80
2024-08-30T00:38:00+00:00,hr,84
2024-08-30T00:39:00+00:00,hr,86
2024-08-30T00:40:00+00:00,hr,103
2024-08-30T00:41:00+00:00,hr,92
2024-08-30T00:42:00+00:00,hr,75
2024-08-30T00:43:00+00:00,hr,77
2024-08-30T00:43:00+00:00,steps,9
2024-08-30T00:44:00+00:00,hr,89
2024-08-30T00:44:00+00:00,steps,14
2024-08-30T00:45:00+00:00,hr,85
2024-08-30T00:46:00+00:00,hr,88
2024-08-30T00:47:00+00:00,hr,90
2024-08-30T00:47:00+00:00,steps,42
2024-08-30T00:48:00+00:00,hr,91
2024-08-30T00:48:00+00:00,steps,15
2024-08-30T00:49:00+00:00,hr,91
2024-08-30T00:49:00+00:00,steps,6
2024-08-30T00:50:00+00:00,hr,89
2024-08-30T00:51:00+00:00,hr,77
2024-08-30T00:52:00+00:00,hr,77
2024-08-30T00:53:00+00:00,hr,80
2024-08-30T00:54:00+00:00,hr,79
2024-08-30T00:55:00+00:00,hr,83
2024-08-30T00:55:00+00:00,hrv,"RMSSD: 20.939, coverage: 0.772, hf: 53.752 lf: 72.324"
2024-08-30T00:56:00+00:00,hr,78
2024-08-30T00:57:00+00:00,hr,77
2024-08-30T00:58:00+00:00,hr,76
2024-08-30T00:59:00+00:00,hr,76
2024-08-30T01:00:00+00:00,hr,74
2024-08-30T01:00:00+00:00,hrv,"RMSSD: 23.016, coverage: 0.99, hf: 144.729 lf: 266.167"
2024-08-30T01:01:00+00:00,hr,74
2024-08-30T01:02:00+00:00,hr,75
2024-08-30T01:03:00+00:00,hr,70
2024-08-30T01:04:00+00:00,hr,72
2024-08-30T01:05:00+00:00,hr,78
2024-08-30T01:05:00+00:00,hrv,"RMSSD: 25.444, coverage: 0.946, hf: 88.258 lf: 223.977"
2024-08-30T01:06:00+00:00,hr,68
2024-08-30T01:07:00+00:00,hr,68
2024-08-30T01:08:00+00:00,hr,72
2024-08-30T01:09:00+00:00,hr,68
2024-08-30T01:10:00+00:00,hr,70
2024-08-30T01:10:00+00:00,hrv,"RMSSD: 20.482, coverage: 0.973, hf: 69.514 lf: 197.788"
2024-08-30T01:11:00+00:00,hr,71
2024-08-30T01:12:00+00:00,hr,70
2024-08-30T01:13:00+00:00,hr,69
2024-08-30T01:14:00+00:00,hr,69
2024-08-30T01:15:00+00:00,hr,70
2024-08-30T01:15:00+00:00,hrv,"RMSSD: 21.465, coverage: 1.005, hf: 76.513 lf: 224.278"
2024-08-30T01:15:34+00:00,spo2,95.7
2024-08-30T01:16:00+00:00,hr,70
2024-08-30T01:16:34+00:00,spo2,96.0
2024-08-30T01:17:00+00:00,hr,69
2024-08-30T01:17:34+00:00,spo2,96.1
2024-08-30T01:18:00+00:00,hr,69
2024-08-30T01:18:34+00:00,spo2,96.2
2024-08-30T01:19:00+00:00,hr,69
2024-08-30T01:19:34+00:00,spo2,96.1
2024-08-30T01:20:00+00:00,hr,69
2024-08-30T01:20:00+00:00,hrv,"RMSSD: 20.759, coverage: 1.0, hf: 52.976 lf: 169.414"
2024-08-30T01:20:34+00:00,spo2,96.1
2024-08-30T01:21:00+00:00,hr,68
2024-08-30T01:21:34+00:00,spo2,95.5
2024-08-30T01:22:00+00:00,hr,69
2024-08-30T01:22:34+00:00,spo2,95.2
2024-08-30T01:23:00+00:00,hr,70
2024-08-30T01:23:34+00:00,spo2,94.5
2024-08-30T01:24:00+00:00,hr,70
2024-08-30T01:24:34+00:00,spo2,94.6
2024-08-30T01:25:00+00:00,hr,69
2024-08-30T01:25:00+00:00,hrv,"RMSSD: 21.933, coverage: 0.995, hf: 68.766 lf: 87.655"
2024-08-30T01:25:34+00:00,spo2,94.7
2024-08-30T01:26:00+00:00,hr,68
2024-08-30T01:26:34+00:00,spo2,94.2
2024-08-30T01:27:00+00:00,hr,69
2024-08-30T01:27:34+00:00,spo2,93.5
2024-08-30T01:28:00+00:00,hr,69
2024-08-30T01:28:34+00:00,spo2,93.0
2024-08-30T01:29:00+00:00,hr,69
2024-08-30T01:29:34+00:00,spo2,92.8
2024-08-30T01:30:00+00:00,hr,69
2024-08-30T01:30:00+00:00,hrv,"RMSSD: 22.042, coverage: 1.0, hf: 97.172 lf: 149.664"
2024-08-30T01:30:34+00:00,spo2,92.5
2024-08-30T01:31:00+00:00,hr,68
2024-08-30T01:31:34+00:00,spo2,92.2
2024-08-30T01:32:00+00:00,hr,68
2024-08-30T01:32:34+00:00,spo2,92.1
2024-08-30T01:33:00+00:00,hr,68
2024-08-30T01:33:34+00:00,spo2,91.9
2024-08-30T01:34:00+00:00,hr,68
2024-08-30T01:34:34+00:00,spo2,92.3
2024-08-30T01:35:00+00:00,hr,68
2024-08-30T01:35:00+00:00,hrv,"RMSSD: 23.923, coverage: 0.994, hf: 95.356 lf: 182.213"
2024-08-30T01:35:34+00:00,spo2,92.2
2024-08-30T01:36:00+00:00,hr,69
2024-08-30T01:36:34+00:00,spo2,92.1
2024-08-30T01:37:00+00:00,hr,69
2024-08-30T01:37:34+00:00,spo2,92.3
2024-08-30T01:38:00+00:00,hr,67
2024-08-30T01:38:34+00:00,spo2,92.2
2024-08-30T01:39:00+00:00,hr,68
2024-08-30T01:39:34+00:00,spo2,92.2
2024-08-30T01:40:00+00:00,hr,68
2024-08-30T01:40:00+00:00,hrv,"RMSSD: 25.772, coverage: 0.995, hf: 123.843 lf: 140.36"
2024-08-30T01:40:34+00:00,spo2,92.0
2024-08-30T01:41:00+00:00,hr,69
2024-08-30T01:41:34+00:00,spo2,91.8
2024-08-30T01:42:00+00:00,hr,68
2024-08-30T01:42:34+00:00,spo2,92.1
2024-08-30T01:43:00+00:00,hr,69
2024-08-30T01:43:34+00:00,spo2,92.3
2024-08-30T01:44:00+00:00,hr,68
2024-08-30T01:44:34+00:00,spo2,92.3
2024-08-30T01:45:00+00:00,hr,68
2024-08-30T01:45:00+00:00,hrv,"RMSSD: 26.15, coverage: 1.002, hf: 94.519 lf: 286.542"
2024-08-30T01:45:34+00:00,spo2,92.2
2024-08-30T01:46:00+00:00,hr,68
2024-08-30T01:46:34+00:00,spo2,92.2
2024-08-30T01:47:00+00:00,hr,67
2024-08-30T01:47:34+00:00,spo2,92.2
2024-08-30T01:48:00+00:00,hr,68
2024-08-30T01:48:34+00:00,spo2,92.5
2024-08-30T01:49:00+00:00,hr,68
2024-08-30T01:49:34+00:00,spo2,92.4
2024-08-30T01:50:00+00:00,hr,68
2024-08-30T01:50:00+00:00,hrv,"RMSSD: 21.533, coverage: 0.951, hf: 74.404 lf: 205.969"
2024-08-30T01:50:34+00:00,spo2,92.2
2024-08-30T01:51:00+00:00,hr,68
2024-08-30T01:51:34+00:00,spo2,92.4
2024-08-30T01:52:00+00:00,hr,70
2024-08-30T01:52:34+00:00,spo2,92.8
2024-08-30T01:53:00+00:00,hr,78
2024-08-30T01:53:34+00:00,spo2,93.8
2024-08-30T01:54:00+00:00,hr,74
2024-08-30T01:54:34+00:00,spo2,93.5
2024-08-30T01:55:00+00:00,hr,75
2024-08-30T01:55:00+00:00,hrv,"RMSSD: 27.506, coverage: 0.998, hf: 154.193 lf: 923.79"
2024-08-30T01:55:34+00:00,spo2,91.5
2024-08-30T01:56:00+00:00,hr,72
2024-08-30T01:56:34+00:00,spo2,90.6
2024-08-30T01:57:00+00:00,hr,71
2024-08-30T01:57:34+00:00,spo2,90.2
2024-08-30T01:58:00+00:00,hr,69
2024-08-30T01:58:34+00:00,spo2,90.2
2024-08-30T01:59:00+00:00,hr,76
2024-08-30T01:59:34+00:00,spo2,89.8
2024-08-30T02:00:00+00:00,hr,73
