time,data_type,value
2024-08-30T00:02:00+00:00,steps,39
2024-08-30T00:15:00+00:00,steps,12
2024-08-30T00:43:00+00:00,steps,9
2024-08-30T00:44:00+00:00,steps,14
2024-08-30T00:47:00+00:00,steps,42
2024-08-30T00:48:00+00:00,steps,15
2024-08-30T00:49:00+00:00,steps,6
2024-08-30T05:49:00+00:00,steps,7
2024-08-30T07:01:00+00:00,steps,17
2024-08-30T07:02:00+00:00,steps,37
2024-08-30T07:41:00+00:00,steps,4
2024-08-30T07:42:00+00:00,steps,10
2024-08-30T08:07:00+00:00,steps,10
2024-08-30T08:08:00+00:00,steps,54
2024-08-30T08:09:00+00:00,steps,62
2024-08-30T08:10:00+00:00,steps,24
2024-08-30T08:11:00+00:00,steps,27
2024-08-30T08:12:00+00:00,steps,35
2024-08-30T08:13:00+00:00,steps,23
2024-08-30T09:06:00+00:00,steps,8
2024-08-30T09:09:00+00:00,steps,7
2024-08-30T09:12:00+00:00,steps,45
2024-08-30T09:13:00+00:00,steps,39
2024-08-30T09:14:00+00:00,steps,21
2024-08-30T09:16:00+00:00,steps,9
2024-08-30T09:17:00+00:00,steps,10
2024-08-30T09:23:00+00:00,steps,41
2024-08-30T09:24:00+00:00,steps,23
2024-08-30T09:29:00+00:00,steps,4
2024-08-30T09:31:00+00:00,steps,5
2024-08-30T09:45:00+00:00,steps,7
2024-08-30T09:47:00+00:00,steps,8
2024-08-30T09:48:00+00:00,steps,7
2024-08-30T10:00:00+00:00,steps,12
2024-08-30T10:06:00+00:00,steps,8
2024-08-30T10:25:00+00:00,steps,12
2024-08-30T10:33:00+00:00,steps,31
2024-08-30T10:34:00+00:00,steps,7
2024-08-30T10:35:00+00:00,steps,29
2024-08-30T10:36:00+00:00,steps,20
2024-08-30T10:37:00+00:00,steps,49
2024-08-30T10:38:00+00:00,steps,3
2024-08-30T10:52:00+00:00,steps,12
2024-08-30T10:55:00+00:00,steps,4
2024-08-30T10:56:00+00:00,steps,7
2024-08-30T10:58:00+00:00,steps,18
2024-08-30T11:01:00+00:00,steps,13
2024-08-30T11:03:00+00:00,steps,18
2024-08-30T11:05:00+00:00,steps,13
2024-08-30T11:06:00+00:00,steps,3
2024-08-30T11:09:00+00:00,steps,16
2024-08-30T11:10:00+00:00,steps,9
2024-08-30T11:50:00+00:00,steps,36
2024-08-30T11:51:00+00:00,steps,146
2024-08-30T11:52:00+00:00,steps,101
2024-08-30T11:53:00+00:00,steps,114
2024-08-30T11:54:00+00:00,steps,3
2024-08-30T12:08:00+00:00,steps,4
