time,data_type,value
2024-09-04T04:09:03+00:00,spo2,94.9
2024-09-04T04:10:03+00:00,spo2,94.7
2024-09-04T04:11:03+00:00,spo2,94.5
2024-09-04T04:12:03+00:00,spo2,94.4
2024-09-04T04:13:03+00:00,spo2,94.4
2024-09-04T04:14:03+00:00,spo2,94.7
2024-09-04T04:15:03+00:00,spo2,94.6
2024-09-04T04:16:03+00:00,spo2,94.5
2024-09-04T04:17:03+00:00,spo2,94.3
2024-09-04T04:18:03+00:00,spo2,94.6
2024-09-04T04:19:03+00:00,spo2,94.6
2024-09-04T04:20:03+00:00,spo2,94.7
2024-09-04T04:21:03+00:00,spo2,94.4
2024-09-04T04:22:03+00:00,spo2,94.5
2024-09-04T04:23:03+00:00,spo2,94.4
2024-09-04T04:24:03+00:00,spo2,94.2
2024-09-04T04:25:03+00:00,spo2,94.2
2024-09-04T04:26:03+00:00,spo2,94.1
2024-09-04T04:27:03+00:00,spo2,94.0
2024-09-04T04:28:03+00:00,spo2,93.9
2024-09-04T04:29:03+00:00,spo2,93.9
2024-09-04T04:30:03+00:00,spo2,93.8
2024-09-04T04:31:03+00:00,spo2,93.8
2024-09-04T04:32:03+00:00,spo2,93.8
2024-09-04T04:33:03+00:00,spo2,93.9
2024-09-04T04:34:03+00:00,spo2,93.9
2024-09-04T04:35:03+00:00,spo2,94.1
2024-09-04T04:36:03+00:00,spo2,94.0
2024-09-04T04:37:03+00:00,spo2,93.8
2024-09-04T04:39:03+00:00,spo2,94.3
2024-09-04T04:40:03+00:00,spo2,95.2
2024-09-04T04:41:03+00:00,spo2,95.7
2024-09-04T04:42:03+00:00,spo2,96.1
2024-09-04T04:43:03+00:00,spo2,96.5
2024-09-04T04:44:03+00:00,spo2,96.7
2024-09-04T04:45:03+00:00,spo2,96.8
2024-09-04T04:46:03+00:00,spo2,96.9
2024-09-04T04:47:03+00:00,spo2,96.9
2024-09-04T04:48:03+00:00,spo2,97.0
2024-09-04T04:49:03+00:00,spo2,97.0
2024-09-04T05:18:03+00:00,spo2,95.7
2024-09-04T05:19:03+00:00,spo2,96.3
2024-09-04T05:20:03+00:00,spo2,96.6
2024-09-04T05:21:03+00:00,spo2,96.7
2024-09-04T05:22:03+00:00,spo2,96.7
2024-09-04T05:23:03+00:00,spo2,96.4
2024-09-04T05:24:03+00:00,spo2,96.1
2024-09-04T05:25:03+00:00,spo2,96.6
2024-09-04T05:26:03+00:00,spo2,96.5
2024-09-04T05:27:03+00:00,spo2,96.8
2024-09-04T05:28:03+00:00,spo2,97.1
2024-09-04T05:29:03+00:00,spo2,97.4
2024-09-04T05:30:03+00:00,spo2,97.5
2024-09-04T05:31:03+00:00,spo2,97.5
2024-09-04T05:32:03+00:00,spo2,97.2
2024-09-04T05:33:03+00:00,spo2,97.5
2024-09-04T05:34:03+00:00,spo2,97.6
2024-09-04T05:35:03+00:00,spo2,97.6
